sentencia,tema,url
T-014/26,Estabilidad reforzada embarazo en contrato prestación de servicios (SENA),https://www.corteconstitucional.gov.co/relatoria/2026/T-014-26.htm
T-119/23,Estabilidad reforzada embarazo/lactancia en prestación de servicios,https://www.corteconstitucional.gov.co/relatoria/2023/t-119-23.htm
T-123/25,Estabilidad reforzada embarazo; improcedencia por falta de prueba de relación laboral,https://www.corteconstitucional.gov.co/relatoria/2025/t-123-25.htm
SU-075/18,Unificación estabilidad reforzada mujer embarazada (no protección si empleador ignoraba el embarazo),https://www.corteconstitucional.gov.co/relatoria/2018/su075-18.htm
SU-070/13,Unificación protección reforzada maternidad en el empleo,
T-092/16,Estabilidad reforzada embarazo; contrato realidad y licencia de maternidad,https://www.corteconstitucional.gov.co/relatoria/2016/t-092-16.htm
T-189/24,Estabilidad reforzada embarazo; contrato realidad y prueba electrónica (WhatsApp),https://www.corteconstitucional.gov.co/relatoria/2024/t-189-24.htm
T-186/23,Estabilidad reforzada embarazo; no renovación de contrato de prestación de servicios,https://www.corteconstitucional.gov.co/relatoria/2023/t-186-23.htm
T-043/20,Estabilidad reforzada mujer embarazada; alcance,
T-329/22,Estabilidad reforzada embarazo en contrato de prestación de servicios,
T-247/10,Discriminación laboral por razón de sexo/embarazo,https://www.corteconstitucional.gov.co/relatoria/2010/T-247-10.htm
T-265/24,Ius variandi; madre cabeza de familia contra empresa de telecomunicaciones (Comcel),https://www.corteconstitucional.gov.co/relatoria/2024/t-265-24.htm
T-362/95,Ius variandi; modificación de jornada laboral en gimnasio (empleador privado),
T-355/00,Ius variandi; límites a la facultad patronal de modificar condiciones,
T-483/93,Ius variandi; facultad del empleador de modificar condiciones,
T-543/09,Ius variandi; límites y afectación de derechos fundamentales,
T-611/01,Subordinación/ius variandi; derecho al trabajo entre particulares (Indurraje),
T-074/23,Ius variandi; cambio de condiciones laborales por pandemia (empleador privado),https://www.corteconstitucional.gov.co/relatoria/2023/T-074-23.htm
T-550/23,Contrato realidad; primacía de la realidad sobre las formas,https://www.corteconstitucional.gov.co/relatoria/2023/t-550-23.htm
T-519/09,Primacía de la realidad; persona de la tercera edad,https://www.corteconstitucional.gov.co/relatoria/2009/T-519-09.htm
SU-448/16,Contrato realidad; sanción moratoria por cesantías,https://www.corteconstitucional.gov.co/relatoria/2016/su448-16.htm
T-198/06,Estabilidad reforzada por discapacidad/salud; despido discriminatorio,https://www.corteconstitucional.gov.co/relatoria/2006/t-198-06.htm
T-118/19,Estabilidad reforzada; despido de trabajador en discapacidad sin autorización Mintrabajo,
T-521/16,Estabilidad reforzada por afecciones de salud,
T-320/24,Estabilidad reforzada por salud; reintegro; madre cabeza de familia (empresa privada),https://www.corteconstitucional.gov.co/relatoria/2024/t-320-24.htm
T-195/22,Despido por afectación de salud; presunción de discriminación (Rocaplast),https://www.corteconstitucional.gov.co/relatoria/2022/T-195-22.htm
SU-087/22,Unificación estabilidad reforzada por salud; tutela contra providencia judicial,https://www.corteconstitucional.gov.co/relatoria/2022/su087-22.htm
