consulta,articulo,tipo,label,sentencia_origen
"Trabajé como operador de bus articulado desde septiembre de 2004 hasta septiembre de 2014. Me pagaban un salario básico más una bonificación por productividad mensual, pero cuando me despidieron me liquidaron las prestaciones solo con el salario básico, sin incluir esa bonificación que yo recibía todos los meses.",CST Art. 127,positivo,1,SL-3630/22
"Trabajé como operador de bus articulado desde septiembre de 2004 hasta septiembre de 2014. Me pagaban un salario básico más una bonificación por productividad mensual, pero cuando me despidieron me liquidaron las prestaciones solo con el salario básico, sin incluir esa bonificación que yo recibía todos los meses.",CST Art. 128,positivo,1,SL-3630/22
"Trabajé como operador de bus articulado desde septiembre de 2004 hasta septiembre de 2014. Me pagaban un salario básico más una bonificación por productividad mensual, pero cuando me despidieron me liquidaron las prestaciones solo con el salario básico, sin incluir esa bonificación que yo recibía todos los meses.",CST Art. 236,negativo_facil,0,SL-3630/22
"Trabajé como operador de bus articulado desde septiembre de 2004 hasta septiembre de 2014. Me pagaban un salario básico más una bonificación por productividad mensual, pero cuando me despidieron me liquidaron las prestaciones solo con el salario básico, sin incluir esa bonificación que yo recibía todos los meses.",CST Art. 130,negativo_dificil_placeholder,0,SL-3630/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Decreto 2127 de 1945, Art. 20",positivo,1,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Ley 6 de 1945, Art. 1",positivo,1,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Decreto 2127 de 1945, Art. 2",positivo,1,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Ley 100 de 1993, Art. 275",positivo,1,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Decreto 3135 de 1968, Art. 5",positivo,1,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.",CST Art. 236,negativo_facil,0,SL-2858/22
"Trabajé para el ISS desde septiembre de 2000 hasta marzo de 2013 como contador público, pero me hicieron firmar contratos de prestación de servicios. Me despidieron sin justa causa y nunca me pagaron mis prestaciones ni derechos laborales. Trabajaba con horario fijo, recibía órdenes de un jefe y usaba herramientas del ISS.","Código Sustantivo del Trabajo, Art. 64",negativo_dificil_placeholder,0,SL-2858/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Ley 361 de 1997, Art. 26",positivo,1,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Ley 361 de 1997, Art. 5",positivo,1,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Decreto 2463 de 2001, Art. 7",positivo,1,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Ley 776 de 2002, Art. 4",positivo,1,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Ley 776 de 2002, Art. 8",positivo,1,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.",CST Art. 236,negativo_facil,0,SU-087/22
"Trabajé en Aire Ambiente S.A. desde 1993 hasta 2011, cuando me despidieron teniendo diagnóstico de discopatía cervical. Como no me pidieron permiso laboral para despedirme estando enfermo, demandé. Gané en primera y segunda instancia, pero en casación la Corte Suprema me quitó la razón porque la pérdida de capacidad laboral del 29.62% se calificó en 2012, un año después del despido.","Código Sustantivo del Trabajo, Art. 62",negativo_dificil_placeholder,0,SU-087/22
"Trabajé desde mayo de 2005 hasta septiembre de 2006 como inspector de calidad. En marzo de 2006 sufrí un accidente laboral que me afectó la columna vertebral, me dieron incapacidades y recomendaron reubicarme. Me despidieron en septiembre de 2006 sin autorización del Ministerio, y después me calificaron con 44.25% de pérdida de capacidad laboral por ese accidente.","Ley 361 de 1997, Art. 26",positivo,1,SU-380/21
"Trabajé desde mayo de 2005 hasta septiembre de 2006 como inspector de calidad. En marzo de 2006 sufrí un accidente laboral que me afectó la columna vertebral, me dieron incapacidades y recomendaron reubicarme. Me despidieron en septiembre de 2006 sin autorización del Ministerio, y después me calificaron con 44.25% de pérdida de capacidad laboral por ese accidente.",CST Art. 236,negativo_facil,0,SU-380/21
"Trabajé desde mayo de 2005 hasta septiembre de 2006 como inspector de calidad. En marzo de 2006 sufrí un accidente laboral que me afectó la columna vertebral, me dieron incapacidades y recomendaron reubicarme. Me despidieron en septiembre de 2006 sin autorización del Ministerio, y después me calificaron con 44.25% de pérdida de capacidad laboral por ese accidente.","Código Sustantivo del Trabajo, Art. 62 - Terminación del contrato por justa causa",negativo_dificil_placeholder,0,SU-380/21
"Trabajé casi 5 años para Aguas de Bogotá en el proyecto de aseo, con contrato de obra o labor. Me desvincularon en febrero de 2018 cuando terminó el convenio con la EAB por un fallo judicial que anuló su objeto social ampliado. Yo estaba cerca de pensionarme pero igual me despidieron sin tener en cuenta mi condición de prepensionado.",CST Art. 45,positivo,1,T-055/20
"Trabajé casi 5 años para Aguas de Bogotá en el proyecto de aseo, con contrato de obra o labor. Me desvincularon en febrero de 2018 cuando terminó el convenio con la EAB por un fallo judicial que anuló su objeto social ampliado. Yo estaba cerca de pensionarme pero igual me despidieron sin tener en cuenta mi condición de prepensionado.",CST Art. 61 literal d,positivo,1,T-055/20
"Trabajé casi 5 años para Aguas de Bogotá en el proyecto de aseo, con contrato de obra o labor. Me desvincularon en febrero de 2018 cuando terminó el convenio con la EAB por un fallo judicial que anuló su objeto social ampliado. Yo estaba cerca de pensionarme pero igual me despidieron sin tener en cuenta mi condición de prepensionado.",CST Art. 236,negativo_facil,0,T-055/20
"Trabajé casi 5 años para Aguas de Bogotá en el proyecto de aseo, con contrato de obra o labor. Me desvincularon en febrero de 2018 cuando terminó el convenio con la EAB por un fallo judicial que anuló su objeto social ampliado. Yo estaba cerca de pensionarme pero igual me despidieron sin tener en cuenta mi condición de prepensionado.",CST Art. 64,negativo_dificil_placeholder,0,T-055/20
Una mujer embarazada fue despedida sin que el empleador conociera su estado de gestación al momento de la desvinculación. La trabajadora interpuso tutela buscando protección a su estabilidad laboral reforzada y el reconocimiento de prestaciones.,Constitución Política Art. 43,positivo,1,SU-075/18
Una mujer embarazada fue despedida sin que el empleador conociera su estado de gestación al momento de la desvinculación. La trabajadora interpuso tutela buscando protección a su estabilidad laboral reforzada y el reconocimiento de prestaciones.,"Ley 100 de 1993, Art. 166",positivo,1,SU-075/18
Una mujer embarazada fue despedida sin que el empleador conociera su estado de gestación al momento de la desvinculación. La trabajadora interpuso tutela buscando protección a su estabilidad laboral reforzada y el reconocimiento de prestaciones.,Ley 1636 de 2013,positivo,1,SU-075/18
Una mujer embarazada fue despedida sin que el empleador conociera su estado de gestación al momento de la desvinculación. La trabajadora interpuso tutela buscando protección a su estabilidad laboral reforzada y el reconocimiento de prestaciones.,CST Art. 236,negativo_facil,0,SU-075/18
Una mujer embarazada fue despedida sin que el empleador conociera su estado de gestación al momento de la desvinculación. La trabajadora interpuso tutela buscando protección a su estabilidad laboral reforzada y el reconocimiento de prestaciones.,Artículo 239 del Código Sustantivo del Trabajo,negativo_dificil_placeholder,0,SU-075/18
