sentencia,razon
T-236/02,"llm_no_pertinente: La sentencia trata sobre seguridad social y pensiones (derecho a pensión de vejez), no sobre aspectos de la relación laboral individual privada como contratación, jornada o terminación del contrato de trabajo"
T-937/05,"llm_no_pertinente: La sentencia trata sobre una acción de tutela contra providencias judiciales en un proceso ejecutivo hipotecario (derecho bancario/civil), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-861/14,"llm_no_pertinente: La sentencia versa sobre el reconocimiento de una pensión de invalidez en el sistema de seguridad social, que es materia de seguridad social y no una relación laboral individual privada regida por el Código Sustantivo del Trabajo sobre contratación, jornada o terminación del contrato de trabajo"
T-733/11,"llm_no_pertinente: La sentencia trata sobre tutela contra providencias judiciales en procesos de fuero sindical, cuyo tema central es derecho colectivo (asociación sindical, fuero sindical, inscripción de sindicatos en registro sindical), no una relación laboral individual privada regida por el CST en aspectos de contratación, jornada o terminación."
T-571/05,"llm_no_pertinente: La sentencia versa sobre un acto administrativo de toma de posesión de un Fondo de Empleados por parte de la Superintendencia de Economía Solidaria, cuestionando la violación al debido proceso administrativo. No trata sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo, sino sobre derecho administrativo y regulación de entidades solidarias."
T-099/05,sin_articulos_fundamento_directo
T-159/14,"llm_no_pertinente: La sentencia trata sobre seguridad social, específicamente sobre el derecho a la sustitución pensional (pensión de sobrevivientes), no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-550/99,sin_articulos_fundamento_directo
T-409/13,"llm_no_pertinente: La sentencia trata sobre el derecho fundamental a la vivienda digna de población desplazada y el incumplimiento de constructoras en proyectos de vivienda de interés social, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
SU-011/20,"llm_no_pertinente: La sentencia trata sobre una acción de tutela contra una providencia judicial en materia de contribuciones especiales tributarias de servicios públicos domiciliarios, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-424/02,"llm_no_pertinente: La sentencia trata sobre bonos pensionales y el reconocimiento de pensión de jubilación, lo cual corresponde a seguridad social y no a una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-1095/05,"llm_no_pertinente: La sentencia trata sobre obligaciones tributarias, cobro coactivo de la DIAN, intereses moratorios por impuestos adeudados y el deber de solidaridad del Estado en casos de secuestro/desaparecimiento, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
T-093/23,"llm_no_pertinente: La sentencia trata sobre una controversia contractual relacionada con mecanismos alternativos de solución de conflictos (amigable composición) en contratos de infraestructura educativa, no sobre una relación laboral individual privada regida por el Código Sustantivo del Trabajo"
