fuente,numero,texto_completo,n_citas_en_dataset,url_fuente
CGP,167,"Artículo 167. Carga de la prueba. Incumbe a las partes probar el supuesto de hecho de las normas que consagran el efecto jurídico que ellas persiguen. No obstante, según las particularidades del caso, el juez podrá, de oficio o a petición de parte, distribuir, la carga al decretar las pruebas, durante su práctica o en cualquier momento del proceso antes de fallar, exigiendo probar determinado hecho a la parte que se encuentre en una situación más favorable para aportar las evidencias o esclarecer los hechos controvertidos. La parte se considerará en mejor posición para probar en virtud de su cercanía con el material probatorio, por tener en su poder el objeto de prueba, por circunstancias técnicas especiales, por haber intervenido directamente en los hechos que dieron lugar al litigio, o por estado de indefensión o de incapacidad en la cual se encuentre la contraparte, entre otras circunstancias similares. Cuando el juez adopte esta decisión, que será susceptible de recurso, otorgará a la parte correspondiente el término necesario para aportar o solicitar la respectiva prueba, la cual se someterá a las reglas de contradicción previstas en este código. Los hechos notorios y las afirmaciones o negaciones indefinidas no requieren prueba.",1,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=48425
CGP,244,"Artículo 244. Documento auténtico. Es auténtico un documento cuando existe certeza sobre la persona que lo ha elaborado, manuscrito, firmado, o cuando exista certeza respecto de la persona a quien se atribuya el documento. Los documentos públicos y los privados emanados de las partes o de terceros, en original o en copia, elaborados, firmados o manuscritos, y los que contengan la reproducción de la voz o de la imagen, se presumen auténticos, mientras no hayan sido tachados de falso o desconocidos, según el caso. También se presumirán auténticos los memoriales presentados para que formen parte del expediente, incluidas las demandas, sus contestaciones, los que impliquen disposición del derecho en litigio y los poderes en caso de sustitución. Así mismo se presumen auténticos todos los documentos que reúnan los requisitos para ser título ejecutivo. La parte que aporte al proceso un documento, en original o en copia, reconoce con ello su autenticidad y no podrá impugnarlo, excepto cuando al presentarlo alegue su falsedad. Los documentos en forma de mensaje de datos se presumen auténticos. Lo dispuesto en este artículo se aplica en todos los procesos y en todas las jurisdicciones.",1,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=48425
CPTSS,50,"ARTICULO 50. -Extra y ultra petita. El juez (de primera instancia) podrá ordenar el pago de salarios, prestaciones o indemnizaciones distintos de los pedidos, cuando los hechos que los originen hayan sido discutidos en el juicio y estén debidamente probados, o condenar al pago de sumas mayores que las demandadas por el mismo concepto, cuando aparezca que éstas son inferiores a las que corresponden al trabajador, de conformidad con la ley, y siempre que no hayan sido pagadas. Nota: (de primera instancia), mediante Sentencia C-662 del 12 de noviembre de 1998 la Corte Constitucional declaró inexequible la frase entre paréntesis. CAPÍTULO XII Pruebas",1,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5259
CPTSS,54A,"ARTICULO 54A . - Modificado por el art 24, Ley 712 de 2001. Valor probatorio de algunas copias . Se reputarán auténticas las reproducciones simples de los siguientes documentos: 1. Los periódicos oficiales. 2. Las resoluciones y certificaciones emanadas del Ministerio del Trabajo y Seguridad Social. 3. Las convenciones colectivas de trabajo, laudos arbitrales, pactos colectivos, reglamentos de trabajo y estatutos sindicales. 4. Las certificaciones que expida el DANE y el Banco de la República sobre indicadores de su competencia. 5. Las certificaciones que emanen del registro mercantil. Las reproducciones simples de las constancias y certificaciones que hagan parte o deban anexarse a cualquiera de los documentos previstos en los numerales 2º, 3º, 4º y 5º también se reputarán auténticas. Parágrafo -En todos los procesos, salvo cuando se pretenda hacer valer como título ejecutivo, los documentos o sus reproducciones simples presentados por las partes con fines probatorios se reputarán auténticos, sin necesidad de autenticación ni presentación personal, todo ello sin perjuicio de lo dispuesto en relación con los documentos emanados de terceros .""",1,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5259
CST,105,"ARTICULO 105. OBLIGACION DE ADOPTARLO. 1. Está obligado a tener un reglamento de trabajo todo empleador que ocupe más de cinco (5) trabajadores de carácter permanente en empresas comerciales, o más de diez (10) en empresas industriales, o más de veinte (20) en empresas agrícolas, ganaderas o forestales. 2. En empresas mixtas, la obligación de tener un reglamento de trabajo existe cuando el empleador ocupe más de diez (10) trabajadores.",1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
CST,127,"ARTICULO 127. Modificado por el art. 14, Ley 50 de 1990. <El nuevo texto es el siguiente> ELEMENTOS INTEGRANTES. Constituye salario no sólo la remuneración ordinaria, fija o variable, sino todo lo que recibe el trabajador en dinero o en especie como contraprestación directa del servicio, sea cualquiera la forma o denominación que se adopte, como primas, sobresueldos, bonificaciones habituales, valor del trabajo suplementario o de las horas extras, valor del trabajo en días de descanso obligatorio, porcentajes sobre ventas y comisiones. El texto original era el siguiente:",1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
CST,128,"ARTICULO 128. Modificado por el art. 15, Ley 50 de 1990. <El nuevo texto es el siguiente> PAGOS QUE NO CONSTITUYEN SALARIOS. No constituyen salario las sumas que ocasionalmente y por mera liberalidad recibe el trabajador del empleador, como primas, bonificaciones o gratificaciones ocasionales, participación de utilidades, excedentes de las empresas de economía solidaria y lo que recibe en dinero o en especie no para su beneficio, ni para enriquecer su patrimonio, sino para desempeñar a cabalidad sus funciones, como gastos de representación, medios de transporte, elementos de trabajo y otros semejantes. Tampoco las prestaciones sociales de que tratan los títulos VIII y IX, ni los beneficios o auxilios habituales u ocasionales acordados convencional o contractualmente u otorgados en forma extralegal por el empleador, cuando las partes hayan dispuesto expresamente que no constituyen salario en dinero o en especie, tales como la alimentación, habitación o vestuario, las primas extralegales, de vacaciones, de servicios o de navidad. El texto original era el siguiente:",1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
CST,13,ARTICULO 13. MINIMO DE DERECHOS Y GARANTIAS. Las disposiciones de este Código contienen el mínimo de derechos y garantías consagradas en favor de los trabajadores. No produce efecto alguno cualquiera estipulación que afecte o desconozca este mínimo.,1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
CST,130,"ARTICULO 130. Modificado por el art. 17, Ley 50 de 1990. <El nuevo texto es el siguiente> VIATICOS. 1. Los viáticos permanentes constituyen salario en aquella parte destinada a proporcionar al trabajador manutención y alojamiento; pero no en lo que sólo tenga por finalidad proporcionar los medios de transporte o los gastos de representación. 2. Siempre que se paguen debe especificarse el valor de cada uno de estos conceptos. 3. Los viáticos accidentales no constituyen salario en ningún caso. Son viáticos accidentales aquéllos que sólo se dan con motivo de un requerimiento extraordinario, no habitual o poco frecuente. El texto original era el siguiente:",1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
CST,132,"ARTICULO 132. Modificado por el art. 18, Ley 50 de 1990. <El nuevo texto es el siguiente> FORMAS Y LIBERTAD DE ESTIPULACION. 1. El empleador y el trabajador pueden convenir libremente el salario en sus diversas modalidades como por unidad de tiempo, por obra, o a destajo y por tarea, etc., pero siempre respetando el salario mínimo legal o el fijado en los pactos, convenciones colectivas y fallos arbitrales. 2. No obstante lo dispuesto en los artículos 13 , 14 , 16 , 21 y 340 del Código Sustantivo del Trabajo y las normas concordantes con éstas, cuando el trabajador devengue un salario ordinario superior a diez (10) salarios mínimos legales mensuales, valdrá la estipulación escrita de un salario que además de retribuir el trabajo ordinario, compense de antemano el valor de prestaciones, recargos y beneficios tales como el correspondiente al trabajo nocturno, extraordinario o al dominical y festivo, el de primas legales, extralegales, las cesantías y sus intereses, subsidios y suministros en especie; y, en general, las que se incluyan en dicha estipulación, excepto las vacaciones. 3. Este salario no estará exento de las cotizaciones a la seguridad social, ni de los aportes al SENA, ICBF y cajas de compensación familiar, pero en el caso de estas tres últimas entidades, los aportes se disminuirán en un treinta por ciento (30%). 4. El trabajador que desee acogerse a esta estipulación, recibirá la liquidación definitiva de su auxilio de cesantía y demás prestaciones sociales causadas hasta esa fecha, sin que por ello se entienda terminado su contrato de trabajo. El texto original era el siguiente:",1,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104
