fuente,url,dominio,notas
CST,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=33104,alcaldiabogota,Decreto 2663 de 1950 - pagina unica con todo el CST
Constitución Política,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125,alcaldiabogota,pagina unica con toda la Constitucion
Decreto 1045 de 1978,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1466,funcionpublica,
Decreto 1543 de 1997,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=75981,funcionpublica,
Decreto 2025 de 2011,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=43032,funcionpublica,
Decreto 2127 de 1945,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=14906,alcaldiabogota,"la URL de funcionpublica que tenia antes empezo a responder ""No disponible"" a mitad de sesion - cambiada a alcaldiabogota, verificada con los 5 articulos objetivo"
Decreto 2177 de 1989,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=10813,funcionpublica,dataset citaba "1998" por error - corregido a 1989
Decreto 2351 de 1965,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=83596,funcionpublica,
Resolución 2400 de 1979,https://cancilleria.gov.co/normograma/compilacion/docs/resolucion_mintrabajo_rt240079.htm,cancilleria,dataset citaba "Decreto 2400 de 1979" por error - es una Resolucion
Decreto 2463 de 2001,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=6273,funcionpublica,una fila del dataset citaba "2011" por error - corregido a 2001
Decreto 2591 de 1991,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5304,funcionpublica,
Decreto 3135 de 1968,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1567,funcionpublica,
Decreto 4369 de 2006,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=22390,funcionpublica,
Decreto 4588 de 2006,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=22659,funcionpublica,dataset no tenia el año - confirmado 2006
Ley 100 de 1993,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5248,funcionpublica,
Ley 1010 de 2006,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=18843,funcionpublica,
Ley 1098 de 2006,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=22106,funcionpublica,
Ley 115 de 1994,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=292,funcionpublica,
Ley 1232 de 2008,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=31591,funcionpublica,
Ley 1393 de 2010,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=39995,funcionpublica,
Ley 1755 de 2015,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=65334,funcionpublica,
Ley 181 de 1995,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=3424,funcionpublica,
Ley 1822 de 2017,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=78833,funcionpublica,
Ley 270 de 1996,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=6548,funcionpublica,
Ley 361 de 1997,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=343,funcionpublica,
Ley 50 de 1990,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=281,funcionpublica,
Ley 6 de 1945,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=1167,funcionpublica,
Ley 60 de 1993,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=274,funcionpublica,
Ley 776 de 2002,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=16752,funcionpublica,
Ley 789 de 2002,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=6778,funcionpublica,
Ley 790 de 2002,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=6675,funcionpublica,
Ley 797 de 2003,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=7223,funcionpublica,
Ley 812 de 2003,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=8795,funcionpublica,
Ley 82 de 1993,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=4640,funcionpublica,
Ley 91 de 1989,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=299,funcionpublica,
Resolución 8321 de 1983,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=6305,alcaldiabogota,
CGP,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=48425,funcionpublica,Ley 1564 de 2012 - Codigo General del Proceso
CPTSS,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=5259,funcionpublica,Decreto 2158 de 1948 - Codigo Procesal del Trabajo y de la Seguridad Social
Código Civil,https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=39535,alcaldiabogota,Ley 84 de 1873
Ley 30 de 1992,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=253,funcionpublica,educación superior
Ley 1595 de 2012,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=51009,funcionpublica,convenio OIT trabajo decente trabajadoras domésticas
